Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
137,Richaun Holmes\holmeri01,C,24,PHI,3,0,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,3,0
138,Markelle Fultz\fultzma01,SG,19,PHI,3,0,23,1,7,.143,0,0,,1,7,.143,.143,3,4,.750,0,3,3,5,2,0,1,4,5
139,Joel Embiid\embiijo01,C,23,PHI,8,8,278,60,138,.435,8,29,.276,52,109,.477,.464,43,61,.705,23,78,101,24,7,14,29,31,171
140,Robert Covington\covinro01,SF,27,PHI,10,8,281,27,83,.325,15,48,.313,12,35,.343,.416,12,16,.750,12,41,53,25,11,9,11,30,81
141,Marco Belinelli\belinma01,SG,31,PHI,10,0,273,43,106,.406,16,46,.348,27,60,.450,.481,27,31,.871,1,20,21,20,7,0,4,20,129
142,Jerryd Bayless\bayleje01,SG,29,PHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
143,Justin Anderson\anderju01,SF,24,PHI,7,0,33,3,8,.375,2,7,.286,1,1,1.000,.500,0,0,,1,8,9,0,1,0,2,8,8
144,Evan Turner\turneev01,SF,29,POR,3,3,87,12,33,.364,2,7,.286,10,26,.385,.394,2,2,1.000,5,7,12,10,3,1,6,8,28
145,Caleb Swanigan\swanica01,PF,20,POR,1,0,8,0,2,.000,0,1,.000,0,1,.000,.000,3,4,.750,0,2,2,1,0,0,1,1,3
146,Jusuf Nurkic\nurkiju01,C,23,POR,4,4,94,19,39,.487,0,0,,19,39,.487,.487,9,11,.818,12,20,32,4,6,5,3,14,47
147,Shabazz Napier\napiesh01,PG,26,POR,2,0,35,5,11,.455,0,4,.000,5,7,.714,.455,1,2,.500,0,2,2,3,3,0,6,1,11
148,CJ McCollum\mccolcj01,SG,26,POR,4,4,155,40,77,.519,11,26,.423,29,51,.569,.591,10,13,.769,0,8,8,14,5,1,9,11,101
149,Damian Lillard\lillada01,PG,27,POR,4,4,162,25,71,.352,9,30,.300,16,41,.390,.415,15,17,.882,3,15,18,19,5,0,16,8,74
